readfile	mapping_type	read_length	count
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	U	<21	120030
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	U	21	43333
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	U	22	105592
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	U	23	65039
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	U	24	84409
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	U	>24	3515381
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	P	<21	192368
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	P	21	60061
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	P	22	70930
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	P	23	65771
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	P	24	68727
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	P	>24	6474109
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	R	<21	29788
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	R	21	12833
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	R	22	15179
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	R	23	17858
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	R	24	24337
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	R	>24	1820452
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	H	<21	7685
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	H	21	2697
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	H	22	3260
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	H	23	3166
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	H	24	4394
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	H	>24	346429
/home/shared/8TB_HDD_01/sam/gitrepos/deep-dive/D-Apul/output/13-Apul-sRNAseq-ShortStack/ShortStack_out/sRNA-ACR-140-S1-TP2.flexbar_trim.25bp_1.bam	N	<21	104184
