LOC114963508	rna-XM_029342736.2
LOC114963519	rna-XM_029342757.2
LOC114950438	rna-XM_029326634.2
LOC114950437	rna-XM_029326633.2
LOC114950437	rna-XM_029326632.2
LOC114963510	rna-XM_044317729.1
LOC114963514	rna-XM_029342748.2
LOC114963518	rna-XM_029342756.2
LOC114963511	rna-XM_029342745.2
LOC114963511	rna-XM_029342746.2
LOC114963509	rna-XM_044317725.1
LOC114972403	rna-XM_044317730.1
LOC114972403	rna-XM_044317731.1
LOC122957574	rna-XM_044317744.1
LOC114977293	rna-XM_044317754.1
LOC122957543	rna-XM_044317654.1
LOC122949713	rna-XM_044309738.1
LOC114952823	rna-XM_044317766.1
LOC114952819	rna-XM_044317717.1
LOC114952822	rna-XM_044317760.1
LOC114952935	rna-XM_029329017.2
LOC114952932	rna-XM_029329013.2
LOC114952932	rna-XM_029329012.2
LOC114952938	rna-XM_044317796.1
LOC114952906	rna-XM_044317788.1
LOC114952906	rna-XM_044317791.1
LOC114952906	rna-XM_044317786.1
LOC114952906	rna-XM_044317793.1
LOC114952933	rna-XM_029329014.2
LOC114952936	rna-XM_029329018.2
LOC114952934	rna-XM_029329015.2
LOC114952931	rna-XM_029329010.2
LOC114952957	rna-XM_029329050.2
LOC114952894	rna-XM_029328969.2
LOC114952894	rna-XM_029328970.2
LOC114952893	rna-XM_029328967.2
LOC114952893	rna-XM_029328968.2
LOC114952892	rna-XM_029328965.2
LOC114952892	rna-XM_029328966.2
LOC114952891	rna-XM_029328964.2
LOC114952908	rna-XM_044317851.1
LOC114952908	rna-XM_029328984.2
LOC114952833	rna-XM_029328862.2
LOC114952833	rna-XM_029328863.2
LOC114952860	rna-XM_029328904.2
LOC114952860	rna-XM_029328905.2
LOC114952865	rna-XM_029328918.2
LOC114952865	rna-XM_029328919.2
LOC114952862	rna-XM_029328910.2
LOC114952862	rna-XM_029328911.2
LOC122946947	rna-XM_029328912.2
LOC122946947	rna-XM_029328917.2
LOC114952863	rna-XM_044317913.1
LOC114952868	rna-XM_029328924.2
LOC114952869	rna-XM_044317934.1
LOC114952869	rna-XM_029328925.2
LOC114952861	rna-XM_029328907.2
LOC114952861	rna-XM_029328906.2
LOC114952861	rna-XM_044317894.1
LOC114952861	rna-XM_029328909.2
LOC114952861	rna-XM_044317890.1
LOC114952867	rna-XM_029328923.2
LOC114952866	rna-XM_029328920.2
LOC114952866	rna-XM_029328921.2
LOC114952859	rna-XM_029328902.2
LOC114952859	rna-XM_029328903.2
LOC114952837	rna-XM_029328872.2
LOC114952837	rna-XM_029328871.2
LOC114952837	rna-XM_029328873.2
LOC114952837	rna-XM_029328874.2
LOC114952837	rna-XM_029328875.2
LOC114952836	rna-XM_029328870.2
LOC114952835	rna-XM_044317949.1
LOC114952835	rna-XM_029328865.2
LOC114952835	rna-XM_029328864.2
LOC114952835	rna-XM_029328869.2
LOC122957673	rna-XM_044317995.1
LOC114952843	rna-XM_029328884.2
LOC114952841	rna-XM_029328881.2
LOC114952840	rna-XM_029328880.2
LOC114952842	rna-XM_029328882.2
LOC114952839	rna-XM_029328876.2
LOC114952839	rna-XM_029328878.2
LOC114952918	rna-XM_029328992.2
LOC122957693	rna-XM_044318025.1
LOC122957699	rna-XM_044318031.1
LOC114952825	rna-XM_044318040.1
LOC114952825	rna-XM_044318043.1
LOC114952824	rna-XM_029328850.2
LOC114952850	rna-XM_029328890.2
LOC114952857	rna-XM_029328901.2
LOC114952857	rna-XM_029328899.2
LOC114952852	rna-XM_029328894.2
LOC114952855	rna-XM_029328897.2
LOC114952851	rna-XM_029328892.2
LOC114952851	rna-XM_029328893.2
LOC114952853	rna-XM_029328895.2
LOC114952853	rna-XM_029328896.2
LOC114952853	rna-XM_044318074.1
LOC114952856	rna-XM_029328898.2
LOC114952904	rna-XM_044309743.1
LOC114952849	rna-XM_029328889.2
LOC114952849	rna-XM_044318127.1
LOC114952849	rna-XM_044318114.1
LOC114952958	rna-XM_029329051.2
LOC114952912	rna-XM_029328988.2
LOC114952911	rna-XM_029328987.2
