# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Peve_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "lncRNA_counts_matrix.txt" "RNA-POR-71.sorted.bam" "RNA-POR-73.sorted.bam" "RNA-POR-76.sorted.bam" "RNA-POR-79.sorted.bam" "RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-POR-71.sorted.bam	RNA-POR-73.sorted.bam	RNA-POR-76.sorted.bam	RNA-POR-79.sorted.bam	RNA-POR-82.sorted.bam
lncRNA_001	Porites_evermani_scaffold_1	422644	423512	+	869	206	135	237	99	207
lncRNA_002	Porites_evermani_scaffold_1	1084868	1089422	+	4555	334	112	0	147	431
lncRNA_003	Porites_evermani_scaffold_1	372246	372449	+	204	9	0	26	8	18
lncRNA_004	Porites_evermani_scaffold_1	683879	684280	+	402	18	16	23	2	24
lncRNA_005	Porites_evermani_scaffold_1	1202045	1202328	+	284	4	0	28	0	3
lncRNA_006	Porites_evermani_scaffold_1	1477782	1478077	+	296	0	0	40	0	0
lncRNA_007	Porites_evermani_scaffold_10	260428	263111	+	2684	0	0	0	0	0
lncRNA_008	Porites_evermani_scaffold_10	260441	263111	+	2671	0	0	0	0	0
lncRNA_009	Porites_evermani_scaffold_10	890034	892111	+	2078	2867	983	5846	3452	4255
lncRNA_010	Porites_evermani_scaffold_10	1071613	1085055	+	13443	0	0	0	4	6
lncRNA_011	Porites_evermani_scaffold_10	1071809	1085055	+	13247	0	0	0	0	0
lncRNA_012	Porites_evermani_scaffold_10	1075980	1085055	+	9076	0	0	0	0	0
lncRNA_013	Porites_evermani_scaffold_10	1076114	1085055	+	8942	0	0	0	0	0
lncRNA_014	Porites_evermani_scaffold_10	501903	503955	+	2053	2	1	26	3	10
lncRNA_015	Porites_evermani_scaffold_10	510561	513287	+	2727	10	6	63	44	36
lncRNA_016	Porites_evermani_scaffold_10	524810	525785	+	976	4	10	89	30	28
lncRNA_017	Porites_evermani_scaffold_10	605446	607627	+	2182	102	44	589	119	183
lncRNA_018	Porites_evermani_scaffold_10	25819	26461	+	643	218	0	2	24	115
lncRNA_019	Porites_evermani_scaffold_10	59063	59394	+	332	0	0	35	0	0
lncRNA_020	Porites_evermani_scaffold_10	73508	73729	+	222	0	0	40	3	4
lncRNA_021	Porites_evermani_scaffold_10	224120	224845	+	726	1023	488	1787	897	2153
lncRNA_022	Porites_evermani_scaffold_10	413267	413874	+	608	43	8	0	10	86
lncRNA_023	Porites_evermani_scaffold_10	489117	489356	+	240	0	0	40	0	0
lncRNA_024	Porites_evermani_scaffold_10	538148	538387	+	240	3	0	24	9	0
lncRNA_025	Porites_evermani_scaffold_10	1181564	1182204	+	641	391	60	212	82	480
