Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-145-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-150-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-173-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-ACR-178-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
NC_058066.1:152483-152906	Cluster_1	N	1	129	3	4	5
NC_058066.1:161064-161674	Cluster_2	N	56	47	195	41	186
NC_058066.1:203241-203651	Cluster_3	N	19	43	10	18	32
NC_058066.1:204533-205150	Cluster_4	N	5	255	19	10	49
NC_058066.1:205746-206966	Cluster_5	N	1027	433	71	214	259
NC_058066.1:210855-211344	Cluster_6	N	291	203	81	1	652
NC_058066.1:349655-351298	Cluster_7	N	489	1233	844	773	24
NC_058066.1:351491-353439	Cluster_8	N	3196	2050	1458	2081	187
NC_058066.1:368012-368427	Cluster_9	N	0	0	109	0	82
NC_058066.1:598651-599069	Cluster_10	N	50	419	89	179	120
NC_058066.1:681247-681662	Cluster_11	N	0	0	0	4	170
NC_058066.1:776275-776779	Cluster_12	N	0	255	2	53	180
NC_058066.1:1120025-1120456	Cluster_13	N	0	2	0	5	322
NC_058066.1:1153376-1153802	Cluster_14	N	178	77	83	0	35
NC_058066.1:1154204-1154634	Cluster_15	N	245	30	118	0	100
NC_058066.1:1176401-1176821	Cluster_16	N	15	13	14	5	80
NC_058066.1:1208776-1209194	Cluster_17	N	2	5	26	102	0
NC_058066.1:1372702-1373125	Cluster_18	N	20	37	31	22	28
NC_058066.1:1423468-1423907	Cluster_19	N	14	23	202	110	2
NC_058066.1:1424553-1424985	Cluster_20	N	3	38	472	54	0
NC_058066.1:1426743-1427170	Cluster_21	N	137	0	7	0	118
NC_058066.1:1428122-1428836	Cluster_22	N	105	170	153	20	58
NC_058066.1:1478217-1478631	Cluster_23	N	3	46	38	8	0
NC_058066.1:1502916-1503333	Cluster_24	N	9	32	51	19	19
NC_058066.1:1603116-1603545	Cluster_25	N	12	56	26	364	37
NC_058066.1:1807252-1807681	Cluster_26	N	15	85	587	4	3
NC_058066.1:1811750-1812178	Cluster_27	N	31	119	32	37	32
NC_058066.1:2003870-2004431	Cluster_28	N	9	80	3	0	459
NC_058066.1:2092167-2092596	Cluster_29	N	3	145	0	1	1
NC_058066.1:2320927-2321370	Cluster_30	N	91	3439	112	988	104
NC_058066.1:2402544-2402974	Cluster_31	N	11	0	127	2	10
NC_058066.1:2483809-2484238	Cluster_32	N	106	60	40	7	41
NC_058066.1:2512176-2512600	Cluster_33	N	2	4	545	31	1
NC_058066.1:2513571-2514164	Cluster_34	N	153	376	20	82	129
NC_058066.1:2515895-2516324	Cluster_35	N	19	0	65	2	213
NC_058066.1:2516773-2517206	Cluster_36	N	221	34	6	0	445
NC_058066.1:2535481-2536210	Cluster_37	N	111	0	367	204	19
NC_058066.1:2558113-2558537	Cluster_38	N	87	63	22	1	1
NC_058066.1:2592910-2593336	Cluster_39	N	0	0	212	148	0
