#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
transcript::NC_058066.1:468618-469943	1325	73	0.3891	11.48389835357666	1	0.0882804	noncoding
transcript::NC_058066.1:1153398-1165634	12236	134	0.3118	9.09901943206787	1	0.295457	noncoding
transcript::NC_058066.1:1153403-1165634	12231	134	0.3118	9.09901943206787	1	0.295457	noncoding
transcript::NC_058066.1:1153409-1165634	12225	134	0.3118	9.09901943206787	1	0.295457	noncoding
transcript::NC_058066.1:1154206-1155609	1403	66	0.37373	8.802658271789554	1	0.0495107	noncoding
transcript::NC_058066.1:1155786-1165634	9848	134	0.29479	9.09901943206787	1	0.241898	noncoding
transcript::NC_058066.1:1222444-1227226	4782	62	0.32077	9.30048313140869	1	0.0302275	noncoding
transcript::NC_058066.1:1222538-1227226	4688	62	0.32077	9.30048313140869	1	0.0302275	noncoding
transcript::NC_058066.1:1256162-1257382	1220	41	0.34867000000000004	9.098761558532715	1	0.0140974	noncoding
transcript::NC_058066.1:1256162-1264306	8144	53	0.28334000000000004	10.182410621643069	1	0.0265272	noncoding
transcript::NC_058066.1:1256162-1265914	9752	53	0.2765	10.182410621643069	1	0.027401	noncoding
transcript::NC_058066.1:1256162-1265914	9752	53	0.2765	10.182410621643069	1	0.027401	noncoding
transcript::NC_058066.1:1257059-1264306	7247	53	0.28334000000000004	10.182410621643069	1	0.0265272	noncoding
transcript::NC_058066.1:1257059-1265914	8855	53	0.2765	10.182410621643069	1	0.027401	noncoding
transcript::NC_058066.1:1257059-1265914	8855	53	0.2765	10.182410621643069	1	0.027401	noncoding
transcript::NC_058066.1:2168267-2172774	4507	87	0.36389	8.9450044631958	1	0.114693	noncoding
transcript::NC_058066.1:2297524-2299462	1938	60	0.37722	10.105757713317868	1	0.048414	noncoding
transcript::NC_058066.1:2297529-2299462	1933	60	0.37722	10.105757713317868	1	0.048414	noncoding
transcript::NC_058066.1:2450742-2451419	677	61	0.42425999999999997	10.455949974060058	1	0.0924265	noncoding
transcript::NC_058066.1:2836089-2837993	1904	74	0.33194	8.46020221710205	1	0.0466514	noncoding
transcript::NC_058066.1:2836091-2837993	1902	74	0.33194	8.46020221710205	1	0.0466514	noncoding
transcript::NC_058066.1:3115108-3115366	258	36	0.35997	10.288783454895018	1	0.0166507	noncoding
transcript::NC_058066.1:3403569-3404933	1364	187	0.46552000000000004	8.452852821350099	1	0.995804	coding
transcript::NC_058066.1:3950255-3951139	884	85	0.37187	9.63939342498779	1	0.121638	noncoding
transcript::NC_058066.1:4081072-4083579	2507	56	0.27818000000000004	5.302361869812012	1	0.0453144	noncoding
transcript::NC_058066.1:4570608-4571319	711	84	0.38632	10.008668327331542	1	0.142541	noncoding
transcript::NC_058066.1:4596732-4597711	979	78	0.40081999999999995	9.747635841369629	1	0.131434	noncoding
transcript::NC_058066.1:6071438-6071890	452	37	0.34985999999999995	9.777355766296385	1	0.0145483	noncoding
transcript::NC_058066.1:6459579-6473989	14410	132	0.29367000000000004	9.538242530822753	1	0.21438	noncoding
transcript::NC_058066.1:6466327-6473989	7662	132	0.29367000000000004	9.819002342224117	1	0.207058	noncoding
transcript::NC_058066.1:6491663-6498929	7266	94	0.32774000000000003	10.71304988861084	1	0.101864	noncoding
transcript::NC_058066.1:6494385-6502436	8051	94	0.28644000000000003	10.71304988861084	1	0.0749321	noncoding
transcript::NC_058066.1:6494918-6502436	7518	94	0.28644000000000003	10.397412681579588	1	0.0749832	noncoding
transcript::NC_058066.1:6494927-6502436	7509	94	0.28644000000000003	10.397412681579588	1	0.0749832	noncoding
transcript::NC_058066.1:6513669-6518424	4755	98	0.30972	7.693976020812988	1	0.106539	noncoding
transcript::NC_058066.1:6513669-6521112	7443	98	0.30509	7.693976020812988	1	0.103107	noncoding
transcript::NC_058066.1:6556797-6557027	230	0	0.30808	0.0	-1	4.7223e-07	noncoding
transcript::NC_058066.1:6566110-6568809	2699	67	0.37465000000000004	5.9763586044311525	1	0.0633386	noncoding
transcript::NC_058066.1:6996750-6997146	396	52	0.35912	9.820678520202637	-1	0.127094	noncoding
transcript::NC_058066.1:7007322-7014761	7439	127	0.30576000000000003	10.25925693511963	1	0.200669	noncoding
transcript::NC_058066.1:7045103-7046105	1002	62	0.37389	9.652931785583494	1	0.0475586	noncoding
transcript::NC_058066.1:7180784-7182040	1256	70	0.35673	8.069137001037596	1	0.0471672	noncoding
transcript::NC_058066.1:7765329-7765996	667	63	0.34839	6.801603889465332	1	0.0329031	noncoding
transcript::NC_058066.1:8323212-8327114	3902	100	0.30387000000000003	9.7625280380249	1	0.0984939	noncoding
