# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Apul_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "Apul_lncRNA_counts_matrix.txt" "RNA-ACR-140-S1-TP2.bam" "RNA-ACR-145-S1-TP2.bam" "RNA-ACR-150-S1-TP2.bam" "RNA-ACR-173-S1-TP2.bam" "RNA-ACR-178-S1-TP2.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-ACR-140-S1-TP2.bam	RNA-ACR-145-S1-TP2.bam	RNA-ACR-150-S1-TP2.bam	RNA-ACR-173-S1-TP2.bam	RNA-ACR-178-S1-TP2.bam
lncRNA_001	NC_058066.1	468618	469943	+	1326	79	20	70	108	96
lncRNA_002	NC_058066.1	1135315	1144814	+	9500	113	231	222	529	334
lncRNA_003	NC_058066.1	1144883	1148491	+	3609	140	154	136	276	225
lncRNA_004	NC_058066.1	1153398	1165634	+	12237	0	0	0	0	0
lncRNA_005	NC_058066.1	1153398	1165634	+	12237	0	0	0	0	0
lncRNA_006	NC_058066.1	1153403	1165634	+	12232	0	0	0	0	0
lncRNA_007	NC_058066.1	1153409	1165634	+	12226	0	0	0	0	0
lncRNA_008	NC_058066.1	1154206	1155609	+	1404	0	0	0	0	0
lncRNA_009	NC_058066.1	1155786	1165634	+	9849	0	0	0	0	0
lncRNA_010	NC_058066.1	1222539	1225166	+	2628	46	62	63	55	168
lncRNA_011	NC_058066.1	1256162	1260325	+	4164	0	0	0	0	0
lncRNA_012	NC_058066.1	1256162	1264306	+	8145	0	0	0	0	0
lncRNA_013	NC_058066.1	1256162	1265605	+	9444	0	0	0	0	0
lncRNA_014	NC_058066.1	1256162	1265914	+	9753	0	0	0	0	0
lncRNA_015	NC_058066.1	1257059	1264306	+	7248	0	0	0	0	0
lncRNA_016	NC_058066.1	1257059	1265605	+	8547	0	0	0	0	0
lncRNA_017	NC_058066.1	1257059	1265914	+	8856	0	0	0	0	0
lncRNA_018	NC_058066.1	1257059	1265914	+	8856	0	0	0	0	0
lncRNA_019	NC_058066.1	2297524	2299462	+	1939	0	0	0	0	0
lncRNA_020	NC_058066.1	2297529	2299462	+	1934	0	0	0	0	0
lncRNA_021	NC_058066.1	2450607	2451419	+	813	90	9	23	20	1
lncRNA_022	NC_058066.1	2794270	2794479	+	210	0	91	0	1	4
lncRNA_023	NC_058066.1	2836056	2837849	+	1794	0	0	0	0	0
lncRNA_024	NC_058066.1	2836091	2837849	+	1759	0	0	0	0	0
lncRNA_025	NC_058066.1	3115108	3115366	+	259	34	3	18	12	93
lncRNA_026	NC_058066.1	3194219	3194751	+	533	58	0	3	14	43
lncRNA_027	NC_058066.1	3289481	3290299	+	819	0	0	0	0	0
lncRNA_028	NC_058066.1	3950255	3951125	+	871	11	0	5	16	12
lncRNA_029	NC_058066.1	4081072	4083579	+	2508	188	48	64	84	149
