Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged
Pocillopora_meandrina_HIv1___Sc0000000:9092-9521	Cluster_1	N	1568	1337	1563	3006	3339
Pocillopora_meandrina_HIv1___Sc0000000:53578-53997	Cluster_2	N	24	51	67	54	91
Pocillopora_meandrina_HIv1___Sc0000000:150243-150718	Cluster_3	N	244	526	433	397	949
Pocillopora_meandrina_HIv1___Sc0000000:173728-174150	Cluster_4	N	166	167	273	318	333
Pocillopora_meandrina_HIv1___Sc0000000:187562-188076	Cluster_5	N	4	16	26	66	73
Pocillopora_meandrina_HIv1___Sc0000000:485730-486254	Cluster_6	N	35	37	33	58	123
Pocillopora_meandrina_HIv1___Sc0000000:496020-496432	Cluster_7	N	20	7	8	26	11
Pocillopora_meandrina_HIv1___Sc0000000:525310-527341	Cluster_8	N	3604	1240	4588	2757	2576
Pocillopora_meandrina_HIv1___Sc0000000:541262-541723	Cluster_9	N	143	77	78	344	90
Pocillopora_meandrina_HIv1___Sc0000000:551887-552690	Cluster_10	N	26	32	674	3	121
Pocillopora_meandrina_HIv1___Sc0000000:555672-556458	Cluster_11	N	177	110	105	351	95
Pocillopora_meandrina_HIv1___Sc0000000:580913-581465	Cluster_12	N	26	56	43	71	28
Pocillopora_meandrina_HIv1___Sc0000000:591370-591939	Cluster_13	N	224	80	17	149	202
Pocillopora_meandrina_HIv1___Sc0000000:639521-640061	Cluster_14	N	92	230	229	7	13
Pocillopora_meandrina_HIv1___Sc0000000:721030-721459	Cluster_15	N	70	75	25	451	10
Pocillopora_meandrina_HIv1___Sc0000000:721923-722470	Cluster_16	N	406	512	509	682	822
Pocillopora_meandrina_HIv1___Sc0000000:727164-727725	Cluster_17	N	131	105	121	167	318
Pocillopora_meandrina_HIv1___Sc0000000:815898-816398	Cluster_18	N	119	270	127	361	561
Pocillopora_meandrina_HIv1___Sc0000000:818027-818120	Cluster_19	Y	4846	2433	1968	1452	1397
Pocillopora_meandrina_HIv1___Sc0000000:987729-988269	Cluster_20	N	121	231	248	9	4
Pocillopora_meandrina_HIv1___Sc0000000:1215326-1215757	Cluster_21	N	178	175	184	246	223
Pocillopora_meandrina_HIv1___Sc0000000:1276027-1276447	Cluster_22	N	125	0	0	1	12
Pocillopora_meandrina_HIv1___Sc0000000:1276611-1277082	Cluster_23	N	231	1032	178	291	211
Pocillopora_meandrina_HIv1___Sc0000000:1336780-1337291	Cluster_24	N	323	480	351	532	369
Pocillopora_meandrina_HIv1___Sc0000000:1378697-1379231	Cluster_25	N	143	263	99	351	505
Pocillopora_meandrina_HIv1___Sc0000000:1688897-1689413	Cluster_26	N	1	73	136	124	95
Pocillopora_meandrina_HIv1___Sc0000000:1750814-1751515	Cluster_27	N	114	63	69	39	20
Pocillopora_meandrina_HIv1___Sc0000000:1752745-1753174	Cluster_28	N	83	45	22	96	9
Pocillopora_meandrina_HIv1___Sc0000000:1837731-1838144	Cluster_29	N	38	41	2	32	16
Pocillopora_meandrina_HIv1___Sc0000000:2007019-2007452	Cluster_30	N	48	59	144	58	1
Pocillopora_meandrina_HIv1___Sc0000000:2063456-2063972	Cluster_31	N	941	793	999	771	686
Pocillopora_meandrina_HIv1___Sc0000000:2159721-2161042	Cluster_32	N	535	84	303	338	223
Pocillopora_meandrina_HIv1___Sc0000000:2750560-2752027	Cluster_33	N	567	335	325	289	177
Pocillopora_meandrina_HIv1___Sc0000000:2872019-2872110	Cluster_34	Y	39	44	20	41	33
Pocillopora_meandrina_HIv1___Sc0000000:2959034-2959450	Cluster_35	N	26	6	19	64	23
Pocillopora_meandrina_HIv1___Sc0000000:2959658-2960409	Cluster_36	N	367	208	302	258	179
Pocillopora_meandrina_HIv1___Sc0000000:3005020-3005445	Cluster_37	N	24	64	6	1	2
Pocillopora_meandrina_HIv1___Sc0000000:3005892-3006331	Cluster_38	N	368	1	165	250	166
Pocillopora_meandrina_HIv1___Sc0000000:3006351-3006751	Cluster_39	N	27	0	47	48	0
Pocillopora_meandrina_HIv1___Sc0000000:3563547-3563966	Cluster_40	N	0	0	0	0	77
Pocillopora_meandrina_HIv1___Sc0000000:3581968-3582415	Cluster_41	N	47	39	85	117	36
Pocillopora_meandrina_HIv1___Sc0000000:3585141-3585862	Cluster_42	N	81	6	5	99	20
