#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
transcript::Pocillopora_meandrina_HIv1___Sc0000000:164391-165433	1042	38	0.36996999999999997	7.97959041595459	1	0.010528	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:164762-165433	671	35	0.40464999999999995	10.916125297546387	1	0.0237837	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:245809-248612	2803	69	0.32791000000000003	10.203878593444824	1	0.0463183	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:540344-541981	1637	47	0.31204	5.33748836517334	1	0.0201418	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:551803-553744	1941	61	0.33813000000000004	5.948223304748535	1	0.034052	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:608053-611735	3682	63	0.25289	9.650481986999512	1	0.0372955	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:608119-611735	3616	63	0.25289	9.650481986999512	1	0.0372955	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:849628-852046	2418	58	0.25349000000000005	9.87547664642334	1	0.0347956	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:850074-852046	1972	58	0.27174000000000004	9.87547664642334	1	0.0296687	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:958613-960727	2114	118	0.30806	9.356377220153806	1	0.176701	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:961868-962189	321	24	0.32272999999999996	5.935661888122559	1	0.00475005	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:1488516-1491636	3120	71	0.35027	8.3255277633667	1	0.0472869	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:2211034-2213424	2390	125	0.32697000000000004	9.227440452575681	1	0.275391	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:2228038-2228937	899	47	0.4067	8.805108070373539	1	0.0267973	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:2228125-2228616	491	47	0.37865	8.805108070373539	1	0.020791	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:2684191-2684468	277	44	0.36255	11.000063133239745	1	0.0255167	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:2796416-2797736	1320	49	0.36813	10.413400840759277	1	0.0299476	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3003666-3007038	3372	149	0.34295	10.038259315490723	1	0.536296	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3113758-3117669	3911	59	0.26982	10.841341972351074	1	0.0373496	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3113758-3117669	3911	59	0.26982	10.841341972351074	1	0.0373496	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3483862-3484415	553	37	0.40609	8.88614482879639	1	0.0160735	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3557614-3576759	19145	842	0.29343	5.960898399353028	-1	0.973102	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3582385-3583786	1401	64	0.29294	9.101275825500487	1	0.0290112	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3612831-3613982	1151	352	0.44013	6.122093772888182	-1	0.773367	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3639930-3640246	316	49	0.38467000000000007	9.514260292053223	1	0.0284241	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:3921675-3924595	2920	71	0.38422	10.288847923278805	1	0.0836737	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:4598832-4599768	936	73	0.43922	9.558163261413572	1	0.173905	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:4637653-4638343	690	36	0.35712	10.895108604431151	1	0.0184831	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:4661180-4661760	580	50	0.37234	9.25645122528076	1	0.0253142	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:4972301-4981174	8873	914	0.37253000000000003	6.143294715881347	1	1	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5064835-5073005	8170	616	0.29202000000000006	8.27124538421631	1	1	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5506434-5507897	1463	90	0.39049	6.496946907043457	1	0.216096	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5635007-5638026	3019	52	0.28434000000000004	8.445245552062989	1	0.0180703	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5658546-5666282	7736	93	0.2831	9.33568286895752	1	0.0699022	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5688021-5696036	8015	93	0.2831	9.628627204895018	1	0.0704638	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5701368-5702426	1058	38	0.34184	5.9809057235717775	1	0.0098446	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5702592-5709752	7160	67	0.29519	9.507877922058107	1	0.0340588	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5702633-5714538	11905	76	0.2831	9.623340797424316	1	0.0443369	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5702638-5714538	11900	76	0.2831	9.623340797424316	1	0.0443369	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5733015-5738312	5297	64	0.28527	9.055890083312985	1	0.0289217	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:5904672-5912560	7888	246	0.33747	9.640489387512208	1	0.980205	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:6042793-6043084	291	32	0.29325	6.6830945968627935	1	0.00765338	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:6528625-6530852	2227	58	0.28133	6.503312873840332	1	0.0276381	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:6589529-6602452	12923	154	0.32641	9.390738868713381	1	0.529705	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:6877173-6881746	4573	78	0.28157	5.77401180267334	1	0.0874571	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:6937354-6938200	846	18	0.33904	5.752981376647949	1	0.00342719	noncoding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:7007841-7014366	6525	519	0.43132	6.996391105651855	-1	0.961687	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:7007841-7014985	7144	725	0.44467	6.814335823059082	-1	0.998859	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:7007841-7014985	7144	725	0.44467	6.814335823059082	-1	0.998859	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:7007841-7014985	7144	725	0.44467	6.814335823059082	-1	0.998859	coding
transcript::Pocillopora_meandrina_HIv1___Sc0000000:7123537-7130486	6949	302	0.36573	9.85697422027588	1	0.999341	coding
