# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Pmea_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "Pmea_lncRNA_counts_matrix.txt" "RNA-POC-47.sorted.bam" "RNA-POC-48.sorted.bam" "RNA-POC-50.sorted.bam" "RNA-POC-53.sorted.bam" "RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-POC-47.sorted.bam	RNA-POC-48.sorted.bam	RNA-POC-50.sorted.bam	RNA-POC-53.sorted.bam	RNA-POC-57.sorted.bam
lncRNA_001	Pocillopora_meandrina_HIv1___Sc0000000	164391	165433	+	1043	79	4	113	22	24
lncRNA_002	Pocillopora_meandrina_HIv1___Sc0000000	164762	165433	+	672	0	0	0	0	0
lncRNA_003	Pocillopora_meandrina_HIv1___Sc0000000	245809	248612	+	2804	0	0	386	0	12
lncRNA_004	Pocillopora_meandrina_HIv1___Sc0000000	551803	553744	+	1942	0	0	0	0	0
lncRNA_005	Pocillopora_meandrina_HIv1___Sc0000000	608053	611735	+	3683	0	0	0	0	0
lncRNA_006	Pocillopora_meandrina_HIv1___Sc0000000	608119	611735	+	3617	0	0	0	0	0
lncRNA_007	Pocillopora_meandrina_HIv1___Sc0000000	850060	852046	+	1987	0	0	0	0	0
lncRNA_008	Pocillopora_meandrina_HIv1___Sc0000000	850074	852046	+	1973	0	0	0	0	0
lncRNA_009	Pocillopora_meandrina_HIv1___Sc0000000	958613	960727	+	2115	1933	2843	1955	2027	942
lncRNA_010	Pocillopora_meandrina_HIv1___Sc0000000	961868	962189	+	322	9	6	3	50	34
lncRNA_011	Pocillopora_meandrina_HIv1___Sc0000000	1488516	1491636	+	3121	413	56	3957	20	316
lncRNA_012	Pocillopora_meandrina_HIv1___Sc0000000	2211034	2213424	+	2391	1128	1031	1382	1752	2034
lncRNA_013	Pocillopora_meandrina_HIv1___Sc0000000	2228038	2228937	+	900	47	8	31	22	50
lncRNA_014	Pocillopora_meandrina_HIv1___Sc0000000	2228125	2228616	+	492	0	0	0	0	0
lncRNA_015	Pocillopora_meandrina_HIv1___Sc0000000	2684191	2684468	+	278	0	2	16	19	1
lncRNA_016	Pocillopora_meandrina_HIv1___Sc0000000	2796416	2797736	+	1321	28	57	119	53	26
lncRNA_017	Pocillopora_meandrina_HIv1___Sc0000000	3004866	3007038	+	2173	22	133	4	27	4
lncRNA_018	Pocillopora_meandrina_HIv1___Sc0000000	3113758	3117669	+	3912	0	0	0	0	0
lncRNA_019	Pocillopora_meandrina_HIv1___Sc0000000	3113758	3117669	+	3912	0	0	0	0	0
lncRNA_020	Pocillopora_meandrina_HIv1___Sc0000000	3483862	3484415	+	554	32	5	9	24	26
lncRNA_021	Pocillopora_meandrina_HIv1___Sc0000000	3582385	3583786	+	1402	95	40	172	64	31
lncRNA_022	Pocillopora_meandrina_HIv1___Sc0000000	3639930	3640246	+	317	0	7	0	0	22
lncRNA_023	Pocillopora_meandrina_HIv1___Sc0000000	3921675	3924595	+	2921	12	32	8	99	40
lncRNA_024	Pocillopora_meandrina_HIv1___Sc0000000	4598832	4599768	+	937	0	60	78	29	41
lncRNA_025	Pocillopora_meandrina_HIv1___Sc0000000	4637653	4638343	+	691	0	0	40	49	0
lncRNA_026	Pocillopora_meandrina_HIv1___Sc0000000	4661180	4661760	+	581	0	38	47	27	0
lncRNA_027	Pocillopora_meandrina_HIv1___Sc0000000	5506434	5507897	+	1464	45	206	166	85	82
lncRNA_028	Pocillopora_meandrina_HIv1___Sc0000000	5635007	5638026	+	3020	43	26	116	19	55
lncRNA_029	Pocillopora_meandrina_HIv1___Sc0000000	5658546	5666282	+	7737	0	0	0	0	0
lncRNA_030	Pocillopora_meandrina_HIv1___Sc0000000	5688021	5696036	+	8016	0	0	0	0	0
lncRNA_031	Pocillopora_meandrina_HIv1___Sc0000000	5701368	5702426	+	1059	0	0	0	0	0
lncRNA_032	Pocillopora_meandrina_HIv1___Sc0000000	5702592	5709752	+	7161	0	0	0	0	0
lncRNA_033	Pocillopora_meandrina_HIv1___Sc0000000	5702633	5714538	+	11906	0	0	0	0	0
lncRNA_034	Pocillopora_meandrina_HIv1___Sc0000000	5702638	5714538	+	11901	0	0	0	0	0
lncRNA_035	Pocillopora_meandrina_HIv1___Sc0000000	5733015	5738312	+	5298	20	58	61	189	4
lncRNA_036	Pocillopora_meandrina_HIv1___Sc0000000	6042793	6043084	+	292	30	0	0	0	0
lncRNA_037	Pocillopora_meandrina_HIv1___Sc0000000	6500328	6501770	+	1443	16	15	29	23	72
lncRNA_038	Pocillopora_meandrina_HIv1___Sc0000000	6528625	6530852	+	2228	962	45	722	802	1239
lncRNA_039	Pocillopora_meandrina_HIv1___Sc0000000	6877173	6881746	+	4574	58	15	3	6	2
lncRNA_040	Pocillopora_meandrina_HIv1___Sc0000000	6937354	6938200	+	847	48	32	64	0	7
lncRNA_041	Pocillopora_meandrina_HIv1___Sc0000000	7198341	7198627	+	287	4	0	0	24	0
lncRNA_042	Pocillopora_meandrina_HIv1___Sc0000000	7326131	7326722	+	592	4	0	0	0	3
lncRNA_043	Pocillopora_meandrina_HIv1___Sc0000000	7333843	7340649	+	6807	0	6	34	9	65
lncRNA_044	Pocillopora_meandrina_HIv1___Sc0000000	7390472	7391398	+	927	0	29	28	11	16
lncRNA_045	Pocillopora_meandrina_HIv1___Sc0000000	7530248	7538293	+	8046	52	17	12	9	66
lncRNA_046	Pocillopora_meandrina_HIv1___Sc0000000	7564388	7564976	+	589	0	8	6	1	32
lncRNA_047	Pocillopora_meandrina_HIv1___Sc0000000	7732539	7733588	+	1050	4	12	31	5	0
lncRNA_048	Pocillopora_meandrina_HIv1___Sc0000000	7753025	7755120	+	2096	12	19	30	38	43
lncRNA_049	Pocillopora_meandrina_HIv1___Sc0000000	7755242	7756205	+	964	0	0	0	0	0
lncRNA_050	Pocillopora_meandrina_HIv1___Sc0000000	7771343	7771663	+	321	0	12	0	0	21
lncRNA_051	Pocillopora_meandrina_HIv1___Sc0000000	7781630	7782443	+	814	0	5	12	24	3
lncRNA_052	Pocillopora_meandrina_HIv1___Sc0000000	8200223	8201005	+	783	82	22	44	50	70
lncRNA_053	Pocillopora_meandrina_HIv1___Sc0000000	8134203	8134909	+	707	17	53	49	44	50
lncRNA_054	Pocillopora_meandrina_HIv1___Sc0000000	8285629	8286422	+	794	0	0	0	0	0
lncRNA_055	Pocillopora_meandrina_HIv1___Sc0000000	8285629	8290478	+	4850	58	95	163	76	107
lncRNA_056	Pocillopora_meandrina_HIv1___Sc0000000	8308881	8312289	+	3409	169	104	437	212	27
lncRNA_057	Pocillopora_meandrina_HIv1___Sc0000000	8414779	8415385	+	607	155	60	191	77	136
lncRNA_058	Pocillopora_meandrina_HIv1___Sc0000000	8566525	8589450	+	22926	0	0	0	0	0
lncRNA_059	Pocillopora_meandrina_HIv1___Sc0000000	8566525	8589450	+	22926	0	0	0	0	0
lncRNA_060	Pocillopora_meandrina_HIv1___Sc0000000	8566892	8589450	+	22559	0	0	0	0	0
lncRNA_061	Pocillopora_meandrina_HIv1___Sc0000000	8604405	8606108	+	1704	74	168	333	380	167
lncRNA_062	Pocillopora_meandrina_HIv1___Sc0000000	8659619	8660537	+	919	61	38	149	133	54
lncRNA_063	Pocillopora_meandrina_HIv1___Sc0000000	9060946	9065445	+	4500	17	30	23	10	26
lncRNA_064	Pocillopora_meandrina_HIv1___Sc0000000	9212037	9215318	+	3282	98	188	108	87	38
lncRNA_065	Pocillopora_meandrina_HIv1___Sc0000000	9264860	9265693	+	834	1	51	12	16	21
lncRNA_066	Pocillopora_meandrina_HIv1___Sc0000000	9460120	9468105	+	7986	128	35	92	154	0
lncRNA_067	Pocillopora_meandrina_HIv1___Sc0000000	9464991	9468105	+	3115	0	0	0	0	0
lncRNA_068	Pocillopora_meandrina_HIv1___Sc0000000	9632550	9633372	+	823	2	8	29	18	17
lncRNA_069	Pocillopora_meandrina_HIv1___Sc0000000	10360339	10362392	+	2054	0	0	0	0	0
lncRNA_070	Pocillopora_meandrina_HIv1___Sc0000000	10360400	10362392	+	1993	0	0	0	0	0
lncRNA_071	Pocillopora_meandrina_HIv1___Sc0000000	11223476	11224394	+	919	28	9	70	23	14
lncRNA_072	Pocillopora_meandrina_HIv1___Sc0000000	11888733	11889138	+	406	174	17	22	112	8
lncRNA_073	Pocillopora_meandrina_HIv1___Sc0000000	12570299	12571194	+	896	281	117	1	0	0
lncRNA_074	Pocillopora_meandrina_HIv1___Sc0000000	12710704	12714248	+	3545	466	457	280	0	306
lncRNA_075	Pocillopora_meandrina_HIv1___Sc0000000	12691109	12693819	+	2711	50	11	16	105	0
lncRNA_076	Pocillopora_meandrina_HIv1___Sc0000000	12706134	12709600	+	3467	64	32	11	3	1
lncRNA_077	Pocillopora_meandrina_HIv1___Sc0000000	12707341	12709600	+	2260	0	0	0	0	0
lncRNA_078	Pocillopora_meandrina_HIv1___Sc0000000	12718328	12718827	+	500	31	4	65	75	35
lncRNA_079	Pocillopora_meandrina_HIv1___Sc0000000	12762292	12762834	+	543	3	18	16	7	55
lncRNA_080	Pocillopora_meandrina_HIv1___Sc0000000	12913969	12924202	+	10234	8	0	6	7	5
lncRNA_081	Pocillopora_meandrina_HIv1___Sc0000000	13270171	13271825	+	1655	51	15	7	657	40
