Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged
NC_058066.1:152483-152906	Cluster_1	N	2	129	1	3	3
NC_058066.1:161064-161674	Cluster_2	N	50	48	189	39	185
NC_058066.1:172073-172496	Cluster_3	N	29	34	0	36	3
NC_058066.1:203242-203651	Cluster_4	N	14	33	8	14	34
NC_058066.1:204533-205150	Cluster_5	N	3	244	25	12	53
NC_058066.1:205742-206966	Cluster_6	N	993	440	70	259	239
NC_058066.1:210841-211344	Cluster_7	N	304	214	82	3	642
NC_058066.1:349655-351298	Cluster_8	N	506	1215	791	741	19
NC_058066.1:351491-353439	Cluster_9	N	3193	1940	1531	2046	170
NC_058066.1:598651-599068	Cluster_10	N	6	61	15	18	18
NC_058066.1:776275-776779	Cluster_11	N	0	313	5	55	177
NC_058066.1:853444-853867	Cluster_12	N	82	10	0	0	0
NC_058066.1:1120025-1120456	Cluster_13	N	0	4	0	1	278
NC_058066.1:1153376-1153803	Cluster_14	N	158	65	90	0	32
NC_058066.1:1154204-1154634	Cluster_15	N	244	21	126	0	88
NC_058066.1:1176401-1176821	Cluster_16	N	15	10	24	10	53
NC_058066.1:1208785-1209194	Cluster_17	N	0	1	33	77	0
NC_058066.1:1372702-1373125	Cluster_18	N	20	36	32	20	26
NC_058066.1:1423465-1423907	Cluster_19	N	16	26	207	107	0
NC_058066.1:1424553-1424985	Cluster_20	N	3	39	522	58	0
NC_058066.1:1426743-1427170	Cluster_21	N	162	4	6	0	140
NC_058066.1:1428122-1428836	Cluster_22	N	113	161	147	12	92
NC_058066.1:1502916-1503333	Cluster_23	N	7	15	44	13	11
NC_058066.1:1603116-1603545	Cluster_24	N	11	61	23	365	37
NC_058066.1:1807252-1807681	Cluster_25	N	17	80	600	3	5
NC_058066.1:1811750-1812178	Cluster_26	N	27	130	25	42	41
NC_058066.1:2003870-2004431	Cluster_27	N	3	83	9	1	468
NC_058066.1:2092167-2092596	Cluster_28	N	5	142	1	0	2
NC_058066.1:2320927-2321370	Cluster_29	N	108	3396	12	1017	81
NC_058066.1:2402544-2402974	Cluster_30	N	17	0	120	1	10
NC_058066.1:2483809-2484238	Cluster_31	N	101	51	40	6	35
NC_058066.1:2512176-2512600	Cluster_32	N	0	5	551	28	2
NC_058066.1:2513557-2514164	Cluster_33	N	148	405	21	82	119
NC_058066.1:2515895-2516323	Cluster_34	N	16	1	72	1	232
NC_058066.1:2516773-2517206	Cluster_35	N	221	56	13	0	454
NC_058066.1:2535481-2536210	Cluster_36	N	131	1	378	185	9
NC_058066.1:2558113-2558537	Cluster_37	N	95	48	17	0	1
NC_058066.1:2592910-2593336	Cluster_38	N	0	0	0	135	0
NC_058066.1:2599815-2600271	Cluster_39	N	339	35	41	3	61
NC_058066.1:2619723-2620514	Cluster_40	N	53	580	80	18	2
NC_058066.1:2633169-2633595	Cluster_41	N	6	116	0	8	3
NC_058066.1:2642401-2642966	Cluster_42	N	1	0	186	3	0
NC_058066.1:2700192-2700941	Cluster_43	N	158	46	1424	67	97
NC_058066.1:2704452-2705234	Cluster_44	N	93	2	334	539	298
NC_058066.1:2712584-2713182	Cluster_45	N	143	25	103	35	18
NC_058066.1:2754739-2755167	Cluster_46	N	2	70	26	11	47
NC_058066.1:2763730-2764250	Cluster_47	N	331	4	791	3064	2323
NC_058066.1:2909446-2909875	Cluster_48	N	62	71	26	31	5
NC_058066.1:3093735-3094686	Cluster_49	N	295	62	2878	2063	571
NC_058066.1:3095872-3096300	Cluster_50	N	2	50	10	20	88
NC_058066.1:3194972-3195595	Cluster_51	N	35	25	5	249	22
NC_058066.1:3211850-3212419	Cluster_52	N	48	65	37	99	146
NC_058066.1:3220567-3220984	Cluster_53	N	61	117	27	55	1
NC_058066.1:3415293-3415723	Cluster_54	N	0	7	317	4	4
NC_058066.1:3462363-3462791	Cluster_55	N	20	0	2	1	78
NC_058066.1:3538069-3538486	Cluster_56	N	20	22	48	28	4
NC_058066.1:3540154-3540712	Cluster_57	N	42	12	28	375	77
NC_058066.1:3743341-3743765	Cluster_58	N	0	60	26	20	0
NC_058066.1:3829802-3830231	Cluster_59	N	64	83	22	39	2
NC_058066.1:3839436-3839858	Cluster_60	N	38	40	28	40	12
NC_058066.1:3840664-3841156	Cluster_61	N	171	287	33	56	30
NC_058066.1:3841257-3841679	Cluster_62	N	118	40	18	21	4
NC_058066.1:3843560-3844638	Cluster_63	N	68	1366	88	1021	35
NC_058066.1:3844768-3845622	Cluster_64	N	19	532	10	313	11
NC_058066.1:3845637-3846046	Cluster_65	N	4	90	8	112	0
NC_058066.1:3848303-3849112	Cluster_66	N	12	968	68	403	10
NC_058066.1:3849568-3849991	Cluster_67	N	141	91	22	24	15
NC_058066.1:3851014-3851455	Cluster_68	N	87	96	147	35	14
NC_058066.1:3857089-3857518	Cluster_69	N	63	2	6	164	53
NC_058066.1:3878533-3879316	Cluster_70	N	178	258	142	324	2879
NC_058066.1:3880315-3880735	Cluster_71	N	40	30	51	31	8
NC_058066.1:3887019-3887473	Cluster_72	N	128	94	185	114	68
NC_058066.1:3898329-3898757	Cluster_73	N	2	200	1	0	52
NC_058066.1:3915359-3915799	Cluster_74	N	0	0	6	387	0
NC_058066.1:3920681-3921108	Cluster_75	N	91	23	9	297	10
NC_058066.1:3951158-3951602	Cluster_76	N	98	243	109	759	203
NC_058066.1:4066616-4067187	Cluster_77	N	760	469	592	118	41
NC_058066.1:4069713-4070143	Cluster_78	N	181	60	85	44	31
NC_058066.1:4072639-4073183	Cluster_79	N	794	103	136	65	39
NC_058066.1:4073323-4073752	Cluster_80	N	29	60	247	101	11
NC_058066.1:4078283-4079207	Cluster_81	N	320	219	335	186	108
NC_058066.1:4079326-4079754	Cluster_82	N	143	93	137	69	57
NC_058066.1:4083305-4084017	Cluster_83	N	119	63	153	204	57
NC_058066.1:4084153-4085370	Cluster_84	N	543	1329	545	177	12103
NC_058066.1:4085813-4086243	Cluster_85	N	36	37	37	30	62
NC_058066.1:4086995-4087595	Cluster_86	N	648	433	158	678	294
NC_058066.1:4088251-4089801	Cluster_87	N	1789	1485	313	1934	1016
NC_058066.1:4089847-4090463	Cluster_88	N	225	295	54	268	376
NC_058066.1:4090623-4091323	Cluster_89	N	594	508	40	888	1437
NC_058066.1:4091492-4092049	Cluster_90	N	273	238	19	1002	149
NC_058066.1:4092110-4093839	Cluster_91	N	1364	652	5108	2074	371
NC_058066.1:4094002-4094506	Cluster_92	N	171	76	179	104	36
NC_058066.1:4094647-4095656	Cluster_93	N	242	252	422	155	180
NC_058066.1:4098719-4099138	Cluster_94	N	50	25	105	26	6
NC_058066.1:4099196-4099609	Cluster_95	N	38	50	72	26	2
NC_058066.1:4105151-4105932	Cluster_96	N	416	143	349	275	111
NC_058066.1:4106066-4106589	Cluster_97	N	76	144	62	40	24
NC_058066.1:4106614-4108157	Cluster_98	N	285	5220	340	178	191
NC_058066.1:4116592-4117345	Cluster_99	N	1495	886	804	658	1175
NC_058066.1:4118026-4118892	Cluster_100	N	81	126	4844	876	56
NC_058066.1:4118903-4119325	Cluster_101	N	32	36	90	23	17
NC_058066.1:4120171-4120600	Cluster_102	N	30	26	64	24	12
NC_058066.1:4124209-4124609	Cluster_103	N	52	62	106	44	23
NC_058066.1:4125316-4126251	Cluster_104	N	17285	3580	10844	15527	10
NC_058066.1:4126549-4127552	Cluster_105	N	72	27	174	69	56
NC_058066.1:4129370-4129914	Cluster_106	N	289	192	107	29	4
NC_058066.1:4131152-4131581	Cluster_107	N	86	72	40	104	394
NC_058066.1:4131858-4132271	Cluster_108	N	62	7	57	15	1
NC_058066.1:4133051-4133479	Cluster_109	N	15	37	14	89	6
NC_058066.1:4137721-4138263	Cluster_110	N	128	34	131	123	33
NC_058066.1:4138521-4139115	Cluster_111	N	225	166	213	73	79
NC_058066.1:4140204-4142764	Cluster_112	N	1226	1260	3944	1324	5758
NC_058066.1:4143154-4143584	Cluster_113	N	10	1	9	182	154
NC_058066.1:4145938-4146359	Cluster_114	N	33	70	31	13	35
NC_058066.1:4150930-4151357	Cluster_115	N	32	15	85	46	26
NC_058066.1:4154886-4155313	Cluster_116	N	34	11	77	68	44
NC_058066.1:4168339-4168766	Cluster_117	N	104	153	527	302	114
NC_058066.1:4171280-4172604	Cluster_118	N	51	3181	259	945	2232
NC_058066.1:4175545-4175951	Cluster_119	N	1	7	76	27	84
NC_058066.1:4176540-4177402	Cluster_120	N	15	62	338	1913	170
NC_058066.1:4180297-4180724	Cluster_121	N	0	1	0	0	192
NC_058066.1:4181255-4181751	Cluster_122	N	114	81	178	222	153
NC_058066.1:4195868-4196285	Cluster_123	N	5	39	44	16	45
NC_058066.1:4198382-4199171	Cluster_124	N	9360	1501	145	1407	3288
NC_058066.1:4230809-4231506	Cluster_125	N	692	2751	2291	941	3220
NC_058066.1:4233187-4233944	Cluster_126	N	660	163	1046	21	160
NC_058066.1:4235767-4236469	Cluster_127	N	110	209	92	56	64
NC_058066.1:4237239-4237668	Cluster_128	N	70	55	74	82	40
NC_058066.1:4244761-4245294	Cluster_129	N	107	180	72	65	42
NC_058066.1:4250873-4251300	Cluster_130	N	159	147	16	1	2
NC_058066.1:4258796-4259225	Cluster_131	N	63	39	30	15	9
NC_058066.1:4270389-4271093	Cluster_132	N	480	355	21	212	9
NC_058066.1:4272191-4272615	Cluster_133	N	23	29	16	36	27
NC_058066.1:4287868-4288885	Cluster_134	N	68	463	85	76	20
NC_058066.1:4297879-4298296	Cluster_135	N	30	3	18	61	104
NC_058066.1:4300518-4300940	Cluster_136	N	20	1	0	3	89
NC_058066.1:4332131-4332560	Cluster_137	N	234	3	5	1	9
NC_058066.1:4337103-4338168	Cluster_138	N	5240	6965	1485	602	1791
NC_058066.1:4347619-4348048	Cluster_139	N	17	19	22	104	53
NC_058066.1:4354672-4355099	Cluster_140	N	258	19	0	0	133
NC_058066.1:4370016-4370445	Cluster_141	N	35	111	1	0	130
NC_058066.1:4385982-4386415	Cluster_142	N	49	84	20	44	65
NC_058066.1:4395132-4395582	Cluster_143	N	84	19	0	276	0
NC_058066.1:4397148-4397587	Cluster_144	N	395	14	9	50	5
NC_058066.1:4397609-4398038	Cluster_145	N	165	0	1	2	3
NC_058066.1:4415937-4416362	Cluster_146	N	126	91	8	0	1
NC_058066.1:4416395-4416967	Cluster_147	N	148	2	49	0	40
NC_058066.1:4423092-4423522	Cluster_148	N	117	2	8	6	265
NC_058066.1:4423775-4424562	Cluster_149	N	1148	238	24	22	2266
NC_058066.1:4424580-4425010	Cluster_150	N	265	7	2	7	64
NC_058066.1:4426470-4427070	Cluster_151	N	35	403	29	8	313
NC_058066.1:4428951-4429396	Cluster_152	N	0	0	25	322	0
NC_058066.1:4436786-4437215	Cluster_153	N	3	100	0	1	57
NC_058066.1:4438120-4438549	Cluster_154	N	72	58	109	19	96
NC_058066.1:4441841-4442696	Cluster_155	N	80	32	3313	19	38
NC_058066.1:4465253-4465893	Cluster_156	N	312	104	62	65	54
NC_058066.1:4466081-4466510	Cluster_157	N	39	295	18	294	30
NC_058066.1:4466827-4467259	Cluster_158	N	2	0	3	1	803
NC_058066.1:4471991-4472693	Cluster_159	N	0	30	585	0	20
NC_058066.1:4483124-4483549	Cluster_160	N	22	14	7	70	28
NC_058066.1:4486012-4486591	Cluster_161	N	1886	3021	3542	5501	773
NC_058066.1:4487541-4487966	Cluster_162	N	12	6	15	107	12
NC_058066.1:4488258-4488857	Cluster_163	N	1	348	126	49	8
NC_058066.1:4506697-4507125	Cluster_164	N	0	173	0	20	31
NC_058066.1:4508672-4509818	Cluster_165	N	7	1850	220	1153	967
NC_058066.1:4510580-4511216	Cluster_166	N	3	1764	11	221	343
NC_058066.1:4516632-4517208	Cluster_167	N	13	3	117	157	3
NC_058066.1:4517237-4518631	Cluster_168	N	99	4296	4472	2353	376
NC_058066.1:4522462-4522882	Cluster_169	N	20	20	44	53	18
NC_058066.1:4526737-4527164	Cluster_170	N	39	85	99	17	14
NC_058066.1:4527351-4527779	Cluster_171	N	1	189	5	129	80
NC_058066.1:4529111-4529538	Cluster_172	N	1	74	19	175	2
NC_058066.1:4531090-4531633	Cluster_173	N	216	182	37	285	135
NC_058066.1:4542604-4543029	Cluster_174	N	38	22	45	13	21
NC_058066.1:4562931-4563361	Cluster_175	N	54	36	12	3	275
NC_058066.1:4570207-4570655	Cluster_176	N	6	9	7	4	1484
NC_058066.1:4571239-4571801	Cluster_177	N	0	1	2	5	998
NC_058066.1:4591107-4591717	Cluster_178	N	370	264	716	884	429
NC_058066.1:4596623-4597027	Cluster_179	N	124	28	21	0	0
NC_058066.1:5088459-5088888	Cluster_180	N	21	0	157	10	17
NC_058066.1:5097314-5097723	Cluster_181	N	75	0	5	17	0
NC_058066.1:5099329-5100112	Cluster_182	N	52	725	84	387	13
NC_058066.1:5100324-5100838	Cluster_183	N	62	100	115	49	1
NC_058066.1:5118657-5119089	Cluster_184	N	608	87	340	183	41
NC_058066.1:5142156-5142576	Cluster_185	N	0	164	13	1	9
NC_058066.1:5224792-5225215	Cluster_186	N	59	254	907	11	36
NC_058066.1:5240409-5240844	Cluster_187	N	159	394	803	412	893
NC_058066.1:5264708-5265125	Cluster_188	N	52	62	60	21	0
NC_058066.1:5314740-5315199	Cluster_189	N	150	48	64	25	205
NC_058066.1:5332228-5332691	Cluster_190	N	408	431	162	283	203
NC_058066.1:5341387-5341795	Cluster_191	N	29	43	13	26	67
NC_058066.1:5604608-5605031	Cluster_192	N	2	93	3	3	2
NC_058066.1:5703640-5704069	Cluster_193	N	7	18	10	464	4
NC_058066.1:5704323-5704753	Cluster_194	N	38	217	45	28	37
NC_058066.1:5705937-5706378	Cluster_195	N	54	49	23	92	132
NC_058066.1:5796488-5796916	Cluster_196	N	173	737	0	158	0
NC_058066.1:5844885-5845313	Cluster_197	N	8	156	84	13	0
NC_058066.1:5905310-5905827	Cluster_198	N	85	64	43	20	11
NC_058066.1:5955136-5955564	Cluster_199	N	158	0	2	0	2
NC_058066.1:6116958-6117387	Cluster_200	N	0	5	189	0	0
NC_058066.1:6219284-6219712	Cluster_201	N	477	1	3	0	163
NC_058066.1:6261806-6262258	Cluster_202	N	149	174	0	29	191
NC_058066.1:6307573-6308084	Cluster_203	N	168	188	151	151	123
NC_058066.1:6314126-6314552	Cluster_204	N	23	57	47	25	30
NC_058066.1:6332538-6332971	Cluster_205	N	97	70	66	43	23
NC_058066.1:6342434-6343313	Cluster_206	N	378	4	46	5	4
NC_058066.1:6352776-6353207	Cluster_207	N	7	5	0	601	19
NC_058066.1:6355773-6356197	Cluster_208	N	2	0	0	0	88
NC_058066.1:6363187-6363615	Cluster_209	N	23	6	338	15	8
NC_058066.1:6417595-6418138	Cluster_210	N	942	1076	20	7	0
NC_058066.1:6418159-6418841	Cluster_211	N	5457	5085	866	504	0
NC_058066.1:6425688-6426092	Cluster_212	N	23	101	23	2	11
NC_058066.1:6443917-6444346	Cluster_213	N	205	254	3	1	3
NC_058066.1:6529311-6529737	Cluster_214	N	7	226	2	0	1
NC_058066.1:6529892-6530683	Cluster_215	N	4	922	9	19	2
NC_058066.1:6557606-6558150	Cluster_216	N	119	242	195	328	173
NC_058066.1:6589407-6589835	Cluster_217	N	16	51	46	65	96
NC_058066.1:6681986-6682414	Cluster_218	N	224	1	5	8	1
NC_058066.1:6859387-6859816	Cluster_219	N	39	0	0	0	419
NC_058066.1:6874424-6874853	Cluster_220	N	5	116	0	26	2
NC_058066.1:6928504-6928934	Cluster_221	N	36	350	624	135	442
NC_058066.1:7198629-7199054	Cluster_222	N	91	0	10	0	2
NC_058066.1:7210451-7211097	Cluster_223	N	221	1	22	271	0
NC_058066.1:7240509-7240939	Cluster_224	N	9	3	6	1	127
NC_058066.1:7514685-7515162	Cluster_225	N	168	65	76	300	663
NC_058066.1:7519887-7520317	Cluster_226	N	111	24	143	87	437
NC_058066.1:7530913-7531343	Cluster_227	N	14	399	165	222	13
NC_058066.1:7532232-7532659	Cluster_228	N	67	59	35	47	14
NC_058066.1:7563377-7563797	Cluster_229	N	17	46	38	5	13
NC_058066.1:7600171-7601866	Cluster_230	N	1373	796	772	1366	1017
NC_058066.1:7602747-7603218	Cluster_231	N	158	41	17	0	318
NC_058066.1:7654651-7655080	Cluster_232	N	5	60	7	246	146
NC_058066.1:7656764-7657191	Cluster_233	N	1	1	153	0	0
NC_058066.1:7694380-7694806	Cluster_234	N	126	1	5	0	27
NC_058066.1:7714668-7715197	Cluster_235	N	0	604	127	0	0
NC_058066.1:7730077-7730508	Cluster_236	N	270	2	65	345	17
NC_058066.1:7731218-7731737	Cluster_237	N	22	68	67	19	201
NC_058066.1:7732564-7733490	Cluster_238	N	587	297	152	116	67
NC_058066.1:7793600-7794029	Cluster_239	N	2	232	2	1	3
NC_058066.1:7802726-7803149	Cluster_240	N	53	4	40	9	21
NC_058066.1:7875994-7876421	Cluster_241	N	0	1	0	0	168
NC_058066.1:7943787-7944196	Cluster_242	N	29	106	39	3	21
NC_058066.1:8171302-8171732	Cluster_243	N	250	4	264	3	24
NC_058066.1:8195271-8195700	Cluster_244	N	142	61	62	15	2
NC_058066.1:8195857-8196320	Cluster_245	N	333	87	75	69	4
NC_058066.1:8310289-8310825	Cluster_246	N	11	197	179	40	104
NC_058066.1:8313705-8314114	Cluster_247	N	2	0	32	48	88
NC_058066.1:8319128-8319555	Cluster_248	N	0	0	20	142	0
NC_058066.1:8324010-8324429	Cluster_249	N	0	77	44	62	0
NC_058066.1:8331008-8331430	Cluster_250	N	0	88	0	8	2
NC_058066.1:8458714-8459222	Cluster_251	N	41	429	1092	21	14
NC_058066.1:8498041-8498487	Cluster_252	N	3	70	362	149	0
NC_058066.1:8619483-8619892	Cluster_253	N	2	3	4	2	78
NC_058066.1:8640520-8640948	Cluster_254	N	0	15	0	107	72
