Orthogroup	GCF_013753865.1_Amil_v2.1.protein	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
OG0000000		Pocillopora_meandrina_HIv1___TS.g23424.t1	Peve_00000592, Peve_00000895, Peve_00000897, Peve_00001414, Peve_00001571, Peve_00001625, Peve_00001796, Peve_00002146, Peve_00002581, Peve_00002655, Peve_00003090, Peve_00003092, Peve_00004136, Peve_00004230, Peve_00004289, Peve_00004434, Peve_00005038, Peve_00005136, Peve_00005472, Peve_00005636, Peve_00006135, Peve_00006137, Peve_00007286, Peve_00007662, Peve_00007790, Peve_00007934, Peve_00008218, Peve_00008263, Peve_00008616, Peve_00009327, Peve_00009840, Peve_00010620, Peve_00011199, Peve_00012202, Peve_00012880, Peve_00013305, Peve_00014248, Peve_00015806, Peve_00015808, Peve_00016395, Peve_00016782, Peve_00016790, Peve_00016791, Peve_00017675, Peve_00018110, Peve_00018566, Peve_00018885, Peve_00019009, Peve_00019195, Peve_00019388, Peve_00019795, Peve_00019799, Peve_00020735, Peve_00020737, Peve_00020810, Peve_00020912, Peve_00020955, Peve_00021356, Peve_00021594, Peve_00021963, Peve_00021966, Peve_00022209, Peve_00022320, Peve_00023625, Peve_00024269, Peve_00024999, Peve_00025370, Peve_00025888, Peve_00025905, Peve_00026117, Peve_00026418, Peve_00027081, Peve_00027449, Peve_00027924, Peve_00028506, Peve_00028641, Peve_00029650, Peve_00029801, Peve_00029944, Peve_00030342, Peve_00030945, Peve_00030966, Peve_00031115, Peve_00031198, Peve_00031816, Peve_00032072, Peve_00032073, Peve_00032160, Peve_00032359, Peve_00032813, Peve_00033181, Peve_00033333, Peve_00033337, Peve_00033406, Peve_00034463, Peve_00034720, Peve_00034865, Peve_00035135, Peve_00035517, Peve_00035520, Peve_00035628, Peve_00036081, Peve_00036422, Peve_00036528, Peve_00036529, Peve_00036777, Peve_00037437, Peve_00038797, Peve_00039109, Peve_00039359, Peve_00039527, Peve_00039632, Peve_00040233, Peve_00040249, Peve_00040255, Peve_00040268, Peve_00041121, Peve_00041274, Peve_00041344, Peve_00041423, Peve_00041611, Peve_00041612, Peve_00041631, Peve_00041671, Peve_00042198, Peve_00042378, Peve_00042616, Peve_00042829, Peve_00042952, Peve_00042989, Peve_00042990, Peve_00042991, Peve_00043096, Peve_00043250, Peve_00043367, Peve_00043642, Peve_00043719, Peve_00044234, Peve_00044589, Peve_00044657, Peve_00044793, Peve_00044794, Peve_00044795, Peve_00045054, Peve_00045115
OG0000001			Peve_00000311, Peve_00000918, Peve_00001043, Peve_00001807, Peve_00002161, Peve_00002579, Peve_00002582, Peve_00003356, Peve_00003378, Peve_00004743, Peve_00007751, Peve_00007843, Peve_00008811, Peve_00008900, Peve_00008908, Peve_00009187, Peve_00009195, Peve_00010231, Peve_00010381, Peve_00010659, Peve_00010674, Peve_00010966, Peve_00011262, Peve_00012340, Peve_00012637, Peve_00014471, Peve_00015929, Peve_00015930, Peve_00015975, Peve_00016261, Peve_00017735, Peve_00018375, Peve_00019016, Peve_00019055, Peve_00019797, Peve_00019944, Peve_00020256, Peve_00020680, Peve_00021589, Peve_00022268, Peve_00022882, Peve_00023063, Peve_00023152, Peve_00023287, Peve_00023437, Peve_00023447, Peve_00023676, Peve_00023677, Peve_00023678, Peve_00024891, Peve_00025212, Peve_00025894, Peve_00025935, Peve_00026267, Peve_00026379, Peve_00027738, Peve_00027739, Peve_00028286, Peve_00028406, Peve_00029060, Peve_00029322, Peve_00029418, Peve_00029976, Peve_00029978, Peve_00030705, Peve_00030733, Peve_00031131, Peve_00031134, Peve_00031507, Peve_00031724, Peve_00031725, Peve_00032995, Peve_00033455, Peve_00034654, Peve_00034964, Peve_00035443, Peve_00035857, Peve_00035913, Peve_00036011, Peve_00036012, Peve_00036426, Peve_00036430, Peve_00036436, Peve_00038000, Peve_00039298, Peve_00039392, Peve_00039393, Peve_00041176, Peve_00041183, Peve_00041185, Peve_00041201, Peve_00041556, Peve_00041662, Peve_00041664, Peve_00041892, Peve_00042139, Peve_00043082, Peve_00043098, Peve_00043108, Peve_00043109, Peve_00043131, Peve_00043470, Peve_00043504, Peve_00044805, Peve_00045122, Peve_00045271, Peve_00045272
OG0000002		Pocillopora_meandrina_HIv1___RNAseq.g12439.t1, Pocillopora_meandrina_HIv1___RNAseq.g12442.t1, Pocillopora_meandrina_HIv1___RNAseq.g12447.t1, Pocillopora_meandrina_HIv1___RNAseq.g12453.t1, Pocillopora_meandrina_HIv1___RNAseq.g12456.t1, Pocillopora_meandrina_HIv1___RNAseq.g12459.t1, Pocillopora_meandrina_HIv1___RNAseq.g12464.t1, Pocillopora_meandrina_HIv1___RNAseq.g12467.t1, Pocillopora_meandrina_HIv1___RNAseq.g12470.t1, Pocillopora_meandrina_HIv1___RNAseq.g13011.t1, Pocillopora_meandrina_HIv1___RNAseq.g13016.t1, Pocillopora_meandrina_HIv1___RNAseq.g13017.t1, Pocillopora_meandrina_HIv1___RNAseq.g13020.t1, Pocillopora_meandrina_HIv1___RNAseq.g13021.t1, Pocillopora_meandrina_HIv1___RNAseq.g13024.t1, Pocillopora_meandrina_HIv1___RNAseq.g13025.t1, Pocillopora_meandrina_HIv1___RNAseq.g13029.t1, Pocillopora_meandrina_HIv1___RNAseq.g13031.t1, Pocillopora_meandrina_HIv1___RNAseq.g13035.t1, Pocillopora_meandrina_HIv1___RNAseq.g13038.t1, Pocillopora_meandrina_HIv1___RNAseq.g13041.t1, Pocillopora_meandrina_HIv1___RNAseq.g13042.t1, Pocillopora_meandrina_HIv1___RNAseq.g13044.t1, Pocillopora_meandrina_HIv1___RNAseq.g13047.t1, Pocillopora_meandrina_HIv1___RNAseq.g13048.t1, Pocillopora_meandrina_HIv1___RNAseq.g13052.t1, Pocillopora_meandrina_HIv1___RNAseq.g13057.t1, Pocillopora_meandrina_HIv1___RNAseq.g13067.t1, Pocillopora_meandrina_HIv1___RNAseq.g13071.t1, Pocillopora_meandrina_HIv1___RNAseq.g13076.t1, Pocillopora_meandrina_HIv1___RNAseq.g13078.t1, Pocillopora_meandrina_HIv1___RNAseq.g13088.t1, Pocillopora_meandrina_HIv1___RNAseq.g18449.t1, Pocillopora_meandrina_HIv1___RNAseq.g18453.t1, Pocillopora_meandrina_HIv1___RNAseq.g18456.t1, Pocillopora_meandrina_HIv1___RNAseq.g18458.t1, Pocillopora_meandrina_HIv1___RNAseq.g18459.t1, Pocillopora_meandrina_HIv1___RNAseq.g18463.t1, Pocillopora_meandrina_HIv1___RNAseq.g18466.t1, Pocillopora_meandrina_HIv1___RNAseq.g18469.t1, Pocillopora_meandrina_HIv1___RNAseq.g18472.t1, Pocillopora_meandrina_HIv1___RNAseq.g18475.t1, Pocillopora_meandrina_HIv1___RNAseq.g18478.t1, Pocillopora_meandrina_HIv1___RNAseq.g18481.t1, Pocillopora_meandrina_HIv1___RNAseq.g18484.t1, Pocillopora_meandrina_HIv1___RNAseq.g18487.t1, Pocillopora_meandrina_HIv1___RNAseq.g18490.t1, Pocillopora_meandrina_HIv1___RNAseq.g18496.t1, Pocillopora_meandrina_HIv1___RNAseq.g18502.t1, Pocillopora_meandrina_HIv1___RNAseq.g18504.t1, Pocillopora_meandrina_HIv1___RNAseq.g18507.t1, Pocillopora_meandrina_HIv1___RNAseq.g19471.t1, Pocillopora_meandrina_HIv1___RNAseq.g19477.t1, Pocillopora_meandrina_HIv1___RNAseq.g19483.t1, Pocillopora_meandrina_HIv1___RNAseq.g19486.t1, Pocillopora_meandrina_HIv1___RNAseq.g19488.t1, Pocillopora_meandrina_HIv1___RNAseq.g19489.t1, Pocillopora_meandrina_HIv1___RNAseq.g19493.t1, Pocillopora_meandrina_HIv1___RNAseq.g19498.t1, Pocillopora_meandrina_HIv1___RNAseq.g19499.t1, Pocillopora_meandrina_HIv1___RNAseq.g19501.t1, Pocillopora_meandrina_HIv1___RNAseq.g19503.t1, Pocillopora_meandrina_HIv1___RNAseq.g19507.t1, Pocillopora_meandrina_HIv1___RNAseq.g21914.t1, Pocillopora_meandrina_HIv1___RNAseq.g21921.t1, Pocillopora_meandrina_HIv1___RNAseq.g21924.t1, Pocillopora_meandrina_HIv1___RNAseq.g21927.t1, Pocillopora_meandrina_HIv1___RNAseq.g21931.t1, Pocillopora_meandrina_HIv1___RNAseq.g21939.t1, Pocillopora_meandrina_HIv1___RNAseq.g29533.t1, Pocillopora_meandrina_HIv1___RNAseq.g7155.t1, Pocillopora_meandrina_HIv1___TS.g1998.t1, Pocillopora_meandrina_HIv1___TS.g2022.t1, Pocillopora_meandrina_HIv1___TS.g2050.t1, Pocillopora_meandrina_HIv1___TS.g21485.t1, Pocillopora_meandrina_HIv1___TS.g21490.t1, Pocillopora_meandrina_HIv1___TS.g26680.t1, Pocillopora_meandrina_HIv1___TS.g26688.t1, Pocillopora_meandrina_HIv1___TS.g26699.t1, Pocillopora_meandrina_HIv1___TS.g28850.t1, Pocillopora_meandrina_HIv1___TS.g28861.t1, Pocillopora_meandrina_HIv1___TS.g3706.t1, Pocillopora_meandrina_HIv1___TS.g3716.t1, Pocillopora_meandrina_HIv1___TS.g8580.t1	
OG0000003		Pocillopora_meandrina_HIv1___RNAseq.g23297.t1	Peve_00000307, Peve_00001415, Peve_00001569, Peve_00004137, Peve_00004229, Peve_00004440, Peve_00005035, Peve_00005637, Peve_00006077, Peve_00006438, Peve_00007025, Peve_00008141, Peve_00008221, Peve_00008625, Peve_00009455, Peve_00010208, Peve_00010739, Peve_00011944, Peve_00012882, Peve_00013138, Peve_00013302, Peve_00014129, Peve_00014391, Peve_00016393, Peve_00016405, Peve_00016788, Peve_00019279, Peve_00019385, Peve_00020015, Peve_00020716, Peve_00020911, Peve_00021965, Peve_00022219, Peve_00022716, Peve_00023024, Peve_00024266, Peve_00025367, Peve_00025679, Peve_00025886, Peve_00026416, Peve_00028507, Peve_00028635, Peve_00029947, Peve_00030340, Peve_00030947, Peve_00032365, Peve_00032804, Peve_00033008, Peve_00033334, Peve_00033866, Peve_00034464, Peve_00034721, Peve_00035096, Peve_00035521, Peve_00036080, Peve_00036218, Peve_00036419, Peve_00036425, Peve_00036526, Peve_00037386, Peve_00037755, Peve_00038156, Peve_00039340, Peve_00039361, Peve_00039434, Peve_00040226, Peve_00040230, Peve_00041278, Peve_00041342, Peve_00041628, Peve_00041670, Peve_00041807, Peve_00042380, Peve_00042442, Peve_00042615, Peve_00042704, Peve_00042953, Peve_00043194, Peve_00043249, Peve_00044256, Peve_00044797, Peve_00045048, Peve_00045118
OG0000004	XP_029200603.2, XP_029203069.2, XP_029205277.2, XP_029208983.2		Peve_00000639, Peve_00002434, Peve_00002913, Peve_00002914, Peve_00004739, Peve_00004740, Peve_00005920, Peve_00005924, Peve_00006132, Peve_00006373, Peve_00009268, Peve_00009274, Peve_00009278, Peve_00009937, Peve_00009938, Peve_00009939, Peve_00012921, Peve_00013631, Peve_00015081, Peve_00018768, Peve_00019557, Peve_00019561, Peve_00020485, Peve_00022164, Peve_00022165, Peve_00023754, Peve_00023755, Peve_00026111, Peve_00026112, Peve_00026475, Peve_00026476, Peve_00026734, Peve_00027573, Peve_00027601, Peve_00027624, Peve_00028389, Peve_00028390, Peve_00028391, Peve_00030253, Peve_00030473, Peve_00030754, Peve_00031162, Peve_00032082, Peve_00032347, Peve_00032348, Peve_00032661, Peve_00032662, Peve_00033271, Peve_00034127, Peve_00034128, Peve_00034129, Peve_00034132, Peve_00034968, Peve_00037056, Peve_00037175, Peve_00038074, Peve_00038329, Peve_00038331, Peve_00038335, Peve_00038706, Peve_00038772, Peve_00038852, Peve_00038874, Peve_00040120, Peve_00040370, Peve_00042871, Peve_00042996, Peve_00043247
OG0000005	XP_029180798.2, XP_029209441.2, XP_044166209.1, XP_044167664.1, XP_044167666.1, XP_044167671.1, XP_044167672.1, XP_044167673.1, XP_044167682.1, XP_044167762.1, XP_044167773.1, XP_044167774.1, XP_044167776.1, XP_044167781.1, XP_044168473.1, XP_044168474.1, XP_044168477.1, XP_044168479.1, XP_044168964.1, XP_044168969.1, XP_044168970.1, XP_044168971.1, XP_044168972.1, XP_044168975.1, XP_044168980.1, XP_044168982.1, XP_044168983.1, XP_044168988.1, XP_044168989.1, XP_044168991.1, XP_044168997.1, XP_044168998.1, XP_044169000.1, XP_044169003.1, XP_044169006.1, XP_044169007.1, XP_044169809.1, XP_044169811.1, XP_044169812.1, XP_044170174.1, XP_044171810.1, XP_044172189.1, XP_044172215.1, XP_044172216.1, XP_044172219.1, XP_044172221.1, XP_044173450.1, XP_044175344.1, XP_044179096.1, XP_044179426.1, XP_044179427.1, XP_044181752.1, XP_044181967.1, XP_044182150.1, XP_044182151.1, XP_044182575.1, XP_044182599.1, XP_044182668.1, XP_044184349.1, XP_044184350.1, XP_044184387.1, XP_044184803.1, XP_044184804.1, XP_044184805.1, XP_044185068.1		
OG0000006	XP_029188524.2, XP_029211095.2		Peve_00000111, Peve_00003454, Peve_00004518, Peve_00005149, Peve_00005150, Peve_00005151, Peve_00006145, Peve_00006146, Peve_00006631, Peve_00009480, Peve_00018326, Peve_00018327, Peve_00018331, Peve_00018332, Peve_00018334, Peve_00018510, Peve_00018512, Peve_00018513, Peve_00018514, Peve_00021198, Peve_00021199, Peve_00021200, Peve_00021201, Peve_00021202, Peve_00021203, Peve_00021204, Peve_00021205, Peve_00021206, Peve_00021208, Peve_00021209, Peve_00021215, Peve_00021218, Peve_00021222, Peve_00021223, Peve_00021224, Peve_00021225, Peve_00021227, Peve_00021228, Peve_00021744, Peve_00023619, Peve_00026168, Peve_00026407, Peve_00026538, Peve_00026584, Peve_00026586, Peve_00026587, Peve_00027131, Peve_00027379, Peve_00029188, Peve_00029189, Peve_00031775, Peve_00031776, Peve_00031777, Peve_00031778, Peve_00032049, Peve_00032264, Peve_00033777, Peve_00033778, Peve_00037486, Peve_00037487, Peve_00037488, Peve_00041327, Peve_00044315
OG0000007	XP_029181360.2, XP_029181362.2, XP_029181363.2, XP_044166524.1, XP_044166525.1, XP_044166526.1, XP_044166528.1, XP_044166529.1, XP_044166530.1, XP_044166531.1, XP_044166532.1, XP_044166533.1, XP_044166534.1, XP_044166535.1, XP_044166536.1, XP_044166537.1, XP_044166538.1, XP_044166557.1, XP_044166558.1, XP_044166559.1, XP_044166560.1, XP_044166561.1, XP_044166564.1, XP_044166565.1, XP_044168614.1, XP_044168615.1, XP_044168616.1, XP_044168623.1, XP_044168624.1, XP_044168625.1, XP_044168635.1, XP_044168637.1, XP_044168638.1, XP_044168639.1, XP_044168640.1, XP_044168641.1, XP_044168642.1, XP_044168643.1, XP_044168655.1, XP_044168659.1, XP_044168660.1, XP_044168661.1, XP_044168673.1, XP_044169940.1, XP_044169941.1, XP_044169942.1, XP_044169943.1, XP_044169944.1, XP_044169947.1, XP_044169948.1, XP_044169949.1, XP_044169950.1, XP_044169951.1, XP_044169953.1, XP_044169954.1, XP_044169955.1, XP_044169956.1, XP_044169960.1, XP_044170572.1, XP_044170573.1, XP_044170574.1, XP_044170575.1, XP_044170576.1		
OG0000008	XP_029206146.2, XP_029206244.2, XP_029208347.2, XP_044162903.1, XP_044163814.1, XP_044163815.1, XP_044164251.1, XP_044164732.1, XP_044165836.1, XP_044166240.1, XP_044166739.1, XP_044166740.1, XP_044167244.1, XP_044167574.1, XP_044167575.1, XP_044167743.1, XP_044169311.1, XP_044169339.1, XP_044170126.1, XP_044170136.1, XP_044170137.1, XP_044170138.1, XP_044170333.1, XP_044170334.1, XP_044170335.1, XP_044170336.1, XP_044170357.1, XP_044170358.1, XP_044170365.1, XP_044170510.1, XP_044170811.1, XP_044170867.1, XP_044171000.1, XP_044171188.1, XP_044171412.1, XP_044171441.1, XP_044171445.1, XP_044171447.1, XP_044171451.1, XP_044171453.1, XP_044171784.1, XP_044171785.1, XP_044173509.1, XP_044173527.1, XP_044176983.1, XP_044177113.1, XP_044177749.1, XP_044177920.1, XP_044178640.1, XP_044178641.1, XP_044179653.1, XP_044180414.1, XP_044180415.1, XP_044180416.1, XP_044180420.1, XP_044180422.1, XP_044182127.1, XP_044183193.1, XP_044183194.1, XP_044183243.1, XP_044184290.1, XP_044184841.1		
OG0000009		Pocillopora_meandrina_HIv1___RNAseq.g23298.t1	Peve_00001419, Peve_00002980, Peve_00004225, Peve_00004430, Peve_00005641, Peve_00006599, Peve_00007021, Peve_00008572, Peve_00011206, Peve_00012883, Peve_00013489, Peve_00013975, Peve_00013976, Peve_00014095, Peve_00015874, Peve_00016388, Peve_00016794, Peve_00018922, Peve_00019189, Peve_00019207, Peve_00020021, Peve_00020281, Peve_00020740, Peve_00020905, Peve_00022213, Peve_00022942, Peve_00023027, Peve_00024126, Peve_00024271, Peve_00025371, Peve_00026410, Peve_00027448, Peve_00027923, Peve_00028640, Peve_00029864, Peve_00030519, Peve_00030798, Peve_00030871, Peve_00032363, Peve_00033178, Peve_00034727, Peve_00035127, Peve_00035243, Peve_00035850, Peve_00035875, Peve_00037441, Peve_00039365, Peve_00039367, Peve_00040221, Peve_00040224, Peve_00040491, Peve_00041336, Peve_00041337, Peve_00041665, Peve_00042630, Peve_00042823, Peve_00043263, Peve_00044759, Peve_00044816, Peve_00044817, Peve_00045120
